id,review,Usa,Sup,Dep,Per
550,"Pastfuture tab is not working properly since the update. Seems to work just fine, being able to get the radar to activate and select the past future. Keep things simple.",1,0,0,0
586,Home page will transfer you to other available applications. It just goes to show that I am now protected and my information has been added to remove this convoluted crap app.,1,0,0,0
410,"Been using it for years. I'm absolutely thrilled. However, after the 10.3 update, the countdown sometimes freezes after the halfway mark... and always freezes when the phone is locked. Please update",0,0,0,1
1088,"Since the update, my Fitbit won't sync with the app. It says it's synced but no steps are recorded. The steps on the last day are also wrong.",0,0,1,0
520,"My main requirement for a weather app is to give me a good weather forecast, and AccuWeather does that. I don't find this app attractive. I don't like the white background, the minute casting is a gimmick, I don't like scrolling through a bunch of suggested videos to see the written weather forecast, and I don't like having to click through to get to another favorite city. The sliding settings are confusing. But the radar is very good and the weather forecast is better than anyone else's. So I put up with the poor layout of the app.",1,0,0,0
1145,"My fastest install/uninstall app EVER crashed on the first try, I'm not wasting my time.",0,0,1,0
787,"It was great, after the new renovation it is awesome. Can't sign in, doesn't recognize my email address and has connection issues. Please fix it",0,1,0,0
570,"One of the reasons I bought this app was to scan for malware. It ranks among the top two malware apps in the App Store. But I don't know how to do this. A lot of time wasted on their app support website. Many people have asked the same question and it is said that the problem has been solved. But the answers posted were all like ""yes"". So if it does scan, I certainly don't know how.",1,0,0,0
1082,"I have the Alta and love it. The only problem is pairing it with more than one device at a time. I keep it paired to my phone for msg alerts. I appreciate that the app updates food inputs, etc. on all devices. The navigation is also a little strange. Adding food requires a lot of clicking on the desktop app until the appropriate window appears, perhaps because it's busy looking for the Fitbit that I can't pair with the desktop. I also had an iPhone issue when adding water after midnight. The correct date was the day before, but the one I added went to the current day after midnight. There wasn't even an option to fix it. Again, I love Fitbit, still trying to find workarounds for the app.",0,0,1,0
1106,"Lately it has been very buggy and very inaccurate. I use it for Uber and Lyft and the directions and locations are very inaccurate. Sometimes I see the place right in front of me and it tells me to go 2+ miles away and make a turn, sometimes it keeps repeating the same thing over and over until I get irritated and have to turn it off and restart it.most part of the time he tells me that the place is in the middle of the street. Accuracy is over 100 feet, when homes and buildings are located.",0,0,1,0
266,Uses much more data and battery than the competing app called iTranslate.,0,0,0,1
974,I bought the original ap for about 50. Frustrated with the IO7 updates. Navionics did not offer a patch but required you to install a new app. I called Navionics and asked them about upgrading the older app and they told me that a new ITunes store purchase was required. This is total BS. I spent over 1000 on Navionics SD cards and Navionics Planner software and then they treat their customers like crap. I hope LakeMaster watches and provides a comparable product in the near future. I went through with Navionics,0,1,0,0
31,Really good. But a little slow when loading houses.,0,0,0,1
1075,"it says there is no recent activity under my profile picture when I have more than 149000 steps from last week, I think it's a bug. You are all doing great, thank you",0,0,1,0
997,"It's a good app that plays music from Dropbox, but the music stops playing when it's on repeat and stops playing when it's on repeat. I don't know if this is just happening to me, but an update would be much appreciated.",0,1,0,0
957,"Even with all the auto-correct and Apple's dictionary disabled, Swype still generates funny words. That freezes on the numeric keypad requires a hard reset on my iPhone 6 to fix.",0,1,0,0
622,"I bought the Charge 2 and I really like it so far, but there are a few things that could make the experience of using it even better. Sometimes challenges don't update those who are properly invited and accepted. It would be nice to be able to resend invitations to affected people without having to quit and restart the entire challenge. Naming reminders are also great, especially for medications. I know there are a million requests to sync to Apple Health.",1,0,0,0
105,"It's not as smooth in iOS 8. In iOS 7, I could rotate my iPad about a central axis and the ""sky"" stayed impressively still, now there's a noticeable shake as I rotate.",0,0,0,1
