id,review,Usa,Sup,Dep,Per
1,It takes up a lot of space on your phone but is very useful for storing photos and videos on your phone without having to have them in your camera roll.,0,0,0,1
2,"Great security app, but I also run others on my phone just in case, like I do on my PC, but for what it has in terms of what it does, it's a great app to run on your phone and it doesn't slow down my i5 at all. everything I don't have an app on my phone that slows it down at all and I don't understand what people are complaining about It does what it says it's going to do and I would tell anyone to put it on their phone Help your phone",0,0,0,1
3,"I don't have any problems with the security protection or device locator. I would recommend this app to other people except for the one problem I have. This app drains the battery life of my devices pretty quickly. I went to bed last night around 12am with my phone fully charged, when I woke up this morning at 6 my battery was at 1. No other app had done that to my phone. I would give this app five stars if it didn't drain my battery life.",0,0,0,1
4,I tested this app and found that it used around 500MB of data in a 5 hour period. I won't use it again.,0,0,0,1
5,"Please note that there is no security protection here. I'm disappointed. I don't need you to back up my contacts. I don't need you not knowing where my phone is. I don't need you to back up my photos or anything else on my phone. I need you to tell me the storage on my phone. None of this makes my phone more secure, which is what you're promoting. Everything mentioned below is already taking care of all I needed you to do was ensure or at least help ensure that there was further security analysis that would not provide for them to remove it.",0,0,0,1
6,Totally satisfied so far. My only complaint is if they could make a lighter app for those of us who have iOS 9.3.5 devices.,0,0,0,1
7,"Able to get a good overall picture of my physical progress. However, timing is a problem. Syncing via bluetooth takes some time. I have a Charge 2 tracker. It seems that activity syncing is quite disabled and it seems to sync backwards. Instead of charging 2 for app updates, app updates charge 2 with stale activity data. For example, my Charge 2 tracker and my app were synced and showing 20 minutes of activity. After brisk walking, loading activity 2 was shown for 30 minutes. When I synced it to the app, charge 2 again showed only 20 minutes of activity",0,0,0,1
8,"I have a Fitbit Alta and it seems slow to sync my steps. Also, when I get challenge requests and accept them, it doesn't actually sync or connect with my other competitors, please fix. It's been a constant problem for the last week for me.",0,0,0,1
9,The app crashes and does not complete the setup. I wish I hadn't wasted my money,0,0,0,1
10,"I love the Fitbit app, it helps me a lot, but when I want to add another Fitbit or do anything, my whole phone lags and I never get to do what you were trying to do.",0,0,0,1
11,PLEASE DELETE THE MAP HISTORY AT ONCE. ONE AT A TIME IS SLOW AND TAKES TIME. IT TAKES A LONG TIME TO DELETE EVERYTHING. INCREDIBLE,0,0,0,1
12,"Slow at determining which direction to take, never a direct route, and the scale constantly changing, making it difficult to determine the next turn without having to concentrate or look at the screen.",0,0,0,1
13,"After years of excellent service, this app can no longer find my location at all. About a mile or so away. I tried restarting, deleting the app and downloading it again. Nothing works. I will revise my review if it turns out to be user error. I doubt it, since it just happened overnight when I opened the app.",0,0,0,1
14,"I must say that when I first downloaded the Prisma app I loved using it to edit my photos for something fun, however every time I try to use the app now it CRASHES, I have constantly tried closing it, resetting it, deleting it and I am also downloading the application and STILL FAILS. This app is doing nothing but taking up memory on my phone right now. The app crashes too frequently to be considered usable",0,0,0,1
15,"The filters themselves are great. The processing time is not too long. However, it takes too long to individually observe the results of multiple filters. The problem is exacerbated by adding additional filters. Previews would be awesome or maybe let the app process multiple photo filters while connected overnight.",0,0,0,1
16,"It took a long time to load and when it did, it gave me an error warning saying Something went wrong, please try again later.",0,0,0,1
17,"The filters are unique and interesting. Unfortunately, it is not uncommon to fail when selecting the application of a style. The processing delay is not that bad considering the nature of the filters, but it could be better. Additionally, it is difficult to adjust the intensity of the effects; it's pretty messy to even try to get it to stop. Overall, 45 for features (you can't really customize an effect that I can see) and 35 for functionality. It's discouraging to use the app to its full potential if it keeps crashing. I prefer that developers improve already present features and their functionality before introducing something new.",0,0,0,1
18,"This app was always slow at rendering images, but now it just crashes almost every time I try a filter. Fix your shizz I deleted it",0,0,0,1
19,"This version cannot be compared to how it was before, when I enjoyed using this application. Now the filters take a long time to load and you don't see the preview at the bottom. It requires a lot of patience and time.",0,0,0,1
20,"There are so many filters that it is difficult to choose. It's a little slow at times, but it seems less common after recent updates.",0,0,0,1
21,It works great for quickly creating PDF files via your smartphone. It would be nice to be able to email multiple files at once without having to send them to the cloud.,0,0,0,1
22,"Since the last update, my battery will die in 3 hours. I don't understand why, even in offline mode. I can't use it now. Please solve this problem",0,0,0,1
23,This app is CONSTANTLY buffering my music and not playing. 3 out of 5 times when I open it to play a song it just says buffering and doesn't play anything. AND I AM PAYING FOR IT Although it won't be for long...,0,0,0,1
24,After the last update I have not been able to play music on any of my Apple devices through the app. I keep getting the message that my station is buffering and will be right back... I've never had any problems so far and have always relied on Pandora to listen to good music.,0,0,0,1
25,Surely the app needs a review. It crashes about every 15 on an Apple Watch and most of the time it takes about 30 seconds for the app to load no matter what the connection speed is. These times are much worse when I'm connected to Apple Play in my car.,0,0,0,1
26,Extremely slow charging on my iPhone the last few days and then it skips all the songs. he. time. I usually like half of one a lot.,0,0,0,1
27,until this latest update. I used 80 of my battery in four hours. Unacceptable.,0,0,0,1
28,It's freezing all the other songs. It's not worth paying 15 a month and dealing with this frustration. It literally needs to be fixed ASAP.,0,0,0,1
29,"Normally it is a great application service. But recent releases have had a lot of buffering issues on fast wifi and 4g. Reinstalling the app helps, but then the app crashes. They are failing quality control.",0,0,0,1
30,"3 stars for functionality, high power consumption since update 626, poor sharing of game statistics data between devices.",0,0,0,1
31,Really good. But a little slow when loading houses.,0,0,0,1
32,"I have been using your app for a few years as we are actively looking for a house in a smaller city, with a cooler, greener environment. This application allows me to see not only the interior of the house but also the views it may have. Sometimes it loads a little slower than I want, but I'm usually happy with Zillow's performance. Good job",0,0,0,1
33,"You need a quick display of some of the important options of the application. Otherwise, it is difficult to use.",0,0,0,1
34,It moves very slowly. Is there a way to speed it up? It's quite frustrating,0,0,0,1
35,"I have no idea how this is possible, but this app can somehow literally translate Chinese characters into English in real time while you look at them through your phone's camera.",0,0,0,1
36,"It uses much more data and battery than the competing app, called iTranslate.",0,0,0,1
37,"It's Google Translate, which usually works when the application allows it. Even when a proper connection is provided, all features will refuse to work due to a network error. The microphone ability works from time to time as it refuses to listen or finds a reason to stop after 5 seconds. I'll stick with the browser version.",0,0,0,1
38,The application is very bad and slow and requires light years until the human depends on it in daily tasks,0,0,0,1
39,Amazing game. The delay is due to all the updates that improve the player. You should still get it.,0,0,0,1
40,I got 3 gyms and the game lagged and didn't give me coins. Please fix it,0,0,0,1
41,"I also fixed my settings in my account. Every time I log into my account I have to turn off sounds and music and turn on battery saver, but not my Pok¨¦mon Go Plus. Let me switch accounts and keep my sertions.",0,0,0,1
42,"Hello Pok¨¦mon Go creators, I had an account with all gen 1 gen 2 Pok¨¦mon now I can't log into my account. I entered my username and password. It won't let me log into my account. I created a new account and then when trying to catch a starter Pok¨¦mon I pick one, tap it and guess what slows me down. I tried to catch a starter Pok¨¦mon 5,017 times. My head hurts. If you don't fix this, I'll have to delete this game and make a diversion. in the game you also only have 1 year to fix the game, it keeps lagging me when I try to catch a starter pokemon on my new account and my old account. I can't even log into the account, please fix it or it's time to distract him. It will be on Life Galaxy, that's the name of my channel, so make sure to fix this game. I also have 20 subs but music and distractions get at least 20 views so please fix this game.",0,0,0,1
43,"This was an amazing game and I really enjoyed it, but problem after problem piled up and Niantic does almost nothing about it unless it affects payment for items. The game crashes constantly and has been doing so since launch. Now the PoGo Plus has a bug that makes it almost impossible to use it unless you stand still with your fingers crossed. Report things all you want, but the bottom line is that unless it affects profits, they won't do anything to fix it. Hey, people with the Plus already bought it so screw them, right?",0,0,0,1
44,"I just tried this and compared to my Adonit Pixel, the lag and parallax are horrible with this new Wacom Stylus.",0,0,0,1
45,Polished app... Freezes too much... iPad Air 2 disappointed,0,0,0,1
46,"My iPad has the 9.3.5 update and this app keeps crashing. I know it says it only works on 10.0.0, but I've had this app for so long that it used to work great. Everything still works great except for the fact that sometimes I want to cry because of how much it lags and crashes. I use the app to create bases for small animations and it always crashes. This is very disappointing because the app is beautiful and perfect for everything I do, but it keeps crashing and lagging when I draw. Please help",0,0,0,1
47,"Hey guys, you love this app. But I have to say I draw fast, just old school habits... I notice a lag where I don't notice it in Apple Notes. I think it can be fixed.",0,0,0,1
48,"Honestly, this is a great app. For anyone who is an artist and wants to use a good program, BUY THIS. It has almost all the features of Photoshop and you can have unlimited layers, which makes it feel even more professional and worth your money. You can import your own images and even import more into the already opened file if you need a reference photo. But that being said, sometimes my app freezes randomly for a few seconds, but I've read about the internet and that could also be iOS 11. Hopefully your most resentful unpatriotic helps with that.",0,0,0,1
49,It would be a great game if it didn't take ten minutes to load even on high speed wifi. It's not worth waiting. Please try again Nentendo.,0,0,0,1
50,"Where this game really fails are the controls. If you're going to create an endless MARIO game, the controls MUST be flawless to compensate for the lack of freedom that regular Mario games offer. The touch control isn't responsive enough and having 3D Touch disabled doesn't help. The game is unnecessarily difficult to play since you don't have the precision of a gamepad. I think this echoes other reviewers' main frustration with the game.",0,0,0,1
51,"I'm not sure if this is just my device, but I have an iPhone 7 Plus which has excellent battery life, it usually only drops to 88 at the end of the work day with moderate use, HOWEVER, upon downloading this app, it is completely idles even while Disabling background app refresh DESTROYED my battery life. Within a few hours of the app being on my phone, it dropped to 50. Since the app is so fun, it's a shame this was a problem, enough for me to remove it from my phone entirely. After removing the app from my phone, I know I have the stable battery life I had before. Super big disappointment.",0,0,0,1
52,"To update the list of rally opponents, the user must restart the application. This is time-consuming and a major hindrance to the game. Once this is fixed I will give it 5 stars.",0,0,0,1
53,"It works on the iPhone 7 plus but not on the iPad. Click, the Enlight page opens and then in about 1520 seconds it closes.",0,0,0,1
54,"I liked this app until I ran into a problem with the blender tool, where reduced size png files become pixelated. As long as I move it around the artwork it's fine, but when I put it down it loses its quality. FIX IT PLEASE",0,0,0,1
55,"The app works fine on my iPhone 7 Plus. It would be nice if there were no loading times when opening different shifts to see who is working. Also, add an earnings statement tab.",0,0,0,1
56,"The HS update is terrible. If it actually loads, the app is slow and unresponsive. Messages don't even load. You can see the subject line and nothing else. How inconvenient is that when you need to cover shifts and read important work messages. This app is still the worst I have ever used. Especially since I need to use it daily for work. Please fix. Immediately. We paid good money for this.",0,0,0,1
57,It's a shame that the most expensive app I have is the one that takes the longest and crashes the most. Fix it up.,0,0,0,1
58,"Was the goal of this update to slow everything down to the point where it's unusable? If so, great job.",0,0,0,1
59,I just downloaded it and it says this app will slow down my iPhone.,0,0,0,1
60,It is slowing down phone production,0,0,0,1
61,"Buyer beware. Because this app runs on 32-bit and hasn't had an update in 2 years, it slows down my iPhone 7plus. They charged me for this app and now I can't even use it.",0,0,0,1
62,"They haven't even updated it in two years, it slows down your phone significantly",0,0,0,1
63,Why is no one excited about this app? The idea is a great 7 minute workout. But it drains the battery and needs TLC.,0,0,0,1
64,"I see that according to Apple, this app slows down my phone and may not work in the future if it is not updated. Last update more than 2 years ago. Do I need to move on and look for another workout app or not? I updated because I don't like apps that slow down my phone. And as you know, there are many applications, this is my main one for now. The interface could support one or two updates. But the application is functional and holds the user responsible. I like achievements from exercising consistently or more than once a day. I like the graph where you can see how your weight changes.",0,0,0,1
65,"I have been using this for years. I love it. However, after the 10.3 update, the countdown sometimes freezes after halfway... and always freezes when the phone is locked. Please, update",0,0,0,1
66,"After trying many of the other 7-minute workout apps, I've come to the conclusion that this is my favorite, please note personally. Most others require you to pay for other features when this app offers them after the initial purchase. The workout itself is amazing because I can keep my device off and the workout continues. The add-ons in this app are great too, but I think the initial training is enough. The reasons I gave this a 45 instead of a 55 is due to the lack of updates and improvements that could be made to the app to adapt to newer devices, such as the iPhone 6 or 7. Since it is outdated, the app consumes a little more battery on newer devices than older ones, your device will send you a notification of this problem when you use the app as a reminder. In the end, this is a very good app for those who, like me, don't have time to train for long periods of time in an expensive gym. I would definitely recommend this app to anyone.",0,0,0,1
67,"This app makes your phone slower. It affects your RAM faster and slows down your phone. Therefore, I request the developer to update this so that it does not drain the battery and slow down the phone's processor.",0,0,0,1
68,This is the first time I've seen a pop-up warning from an app saying that this app can slow down my phone. Strange.,0,0,0,1
69,"Awesome app, but I keep getting a warning to ask the developers for an update because it's slowing down my phone.",0,0,0,1
70,iPhone may slow down because the app developer needs to update the app,0,0,0,1
71,I downloaded the app and immediately when I did I got a warning that it might slow down my phi even because this version is outdated. Update for iPhone 7 Plus users. Thank you.,0,0,0,1
72,Update It would be nice to see this app get some optimizations from iOS 10. Tired of seeing iOS remind me that this app can slow down my phone. Publishing workouts to HealthKit would also be a great addition.,0,0,0,1
73,"The routine is great, but the pop-ups are incessant and notify you that the app is slowing down your phone, which is not a good thing.",0,0,0,1
74,"Please update, because my iPhone 7 plus is slow and the app",0,0,0,1
75,"This is a great app, however it really slows down my phone. Updates are needed and please make them faster. It's annoying when it's slow.",0,0,0,1
76,This is not optimized for the iPhone Plus resolution. iOS says it can slow down my phone.,0,0,0,1
77,"I love this app. I use it every day. I would be happy to give it five stars for its usefulness. BUT 1 it hasn't been updated since April 2015, 2 it shows the warning that your iPhone may slow down which means it is 32-bit and may no longer work after future iOS updates, and 3 the developer never responds to the questions. So 1 star for its future, 2 stars overall. I'll keep using it until it goes away, but you should probably look for a similar app that's still supported.",0,0,0,1
78,The first message after downloading says application. The red ones are updated because they slow down the phone.,0,0,0,1
79,I love the app but it slows down. The iPhone 7 needs an update.,0,0,0,1
80,"I am excited to use this app to lose my excess weight. I wish it wasn't so slow and faster. I have an iPhone 6s Plus and I'll be keeping it when I upgrade to the 7 in a few months, so I hope it keeps updating.",0,0,0,1
81,"But... no updates since 2015, and my phone is starting to notice and complain. Come on, update please.",0,0,0,1
82,The app crashes and does not work on Apple Watch Series 2. I only bought this app because it is compatible with Apple Watch. Now this is useless to me.,0,0,0,1
83,It is a good but slow application. Needs some speed improvements.,0,0,0,1
84,"Based on a number of positive reviews about this app, I purchased it and got ready to start my 7-minute workout. Upon opening it, I received a warning saying that this app may cause your phone to slow down. The app developer must update this app to be compatible. After deleting the message, I got another pop-up saying Rate our app. Rating the app helps us make free updates. I thought paying for the app allowed the developer to make updates, so it was disappointing to receive these two messages. For those considering purchasing, wait until the developer makes one of the promised free updates to improve compatibility. Hopefully this review helps you do that.",0,0,0,1
85,Update app compatibility so that it does not cause iPhone 7 iPhone to run slow. Please and thank you,0,0,0,1
86,It drains my battery but it's a great motivator,0,0,0,1
87,It is so slow that storms have passed before the circuit loads. fix it please,0,0,0,1
88,"I was never really happy with this app. It is, at best, slow and cumbersome. I have two other radar apps that are much better than this one.",0,0,0,1
89,"The app needs serious improvements. I can't find my location showing at least 160 north of the actual location. The radar is cheesy at best, has a poor refresh rate, and is also very slow and inaccurate. Don't think that the app screenshots are a fair representation of what you get with the app. The weather channel app is way above the trash.",0,0,0,1
90,Too expensive and underperforming compared to other free apps. Uninstalled,0,0,0,1
91,"I like the application. The color radar is excellent. I like the information I receive with notifications. However, notifications in case of bad weather do not arrive on time. For example, I will have received several alerts from another weather app before I even received one from this one. I live in central Georgia. We have some pretty bad storms in the spring and summer. I don't know why this is, but if the timeliness of the notification can be fixed, I'd give it a 5.",0,0,0,1
92,The application takes a while to load. There are so many weather apps out there. This should also show you the direction the storms are moving. Please add this feature.,0,0,0,1
93,Good map. Notifications are slow. I don't want to wait too long before receiving a notification.,0,0,0,1
