id,review,Usa,Sup,Dep,Per
1,"I love the app, I have used it for years The only problem is that with the new update, it won't allow me to add videos. Please fix it.    ",1,0,0,0
2,It would be better if they actually released the messages instead of just the beta     ,0,0,0,0
3,"Needs to be an option to pay monthly, or to open the deleted pictures and do something with them.     ",0,0,0,0
4,Please let there be a one week free trial I would get premium but I would like to try it out first     ,0,0,0,0
5,Can\'t connect to server. Failed big time. Please fix the problem.    ,0,1,0,0
6,I Just got my new phone and the app asked for my old email which I not longer have causing me to lose everything I had on this app. Kinda frustrating that it couldn't transfer over like all my other apps did.     ,0,0,0,0
7,I've been having keep safe since it came out and I hate the new update bc I can't see my own photos I WAS look forward to seeing them and recovering them to my new iPod but it's not letting me  All I see is a purple square  Very upset  Fix the app now     ,1,1,0,0
8,It keeps saying it cannot connect to server. I tried on my girl's phone and it worked just fine. This hurts me    ,0,1,0,0
9,Logged in from a new device as a premium member  nothing from my last one would transfer even though I had it on the cloud    ,1,1,0,0
10,"Or syncing with the laptop. Although the pic or video can be viewed, it cannot be downloaded to the laptop.    ",0,1,0,0
11,You used to be able to move and copy pics back to your photo album on your device.   This option disappears.  Share says it exports to camera roll but nothing appears.  Move only allows you to move to other KS albums.   I'm sure it's a paid only feature now.   Don't put a free app out there only to downgrade it out of greed. Lame.     ,1,0,0,0
12,I hate how it automatically zooms in to the pictures but other than that decent app     ,1,0,0,0
13,just needs to stop the auto zoom in when you put a photo in the album     ,1,0,0,0
14,My main issue with this app is that it is resizing some of my photos and won't allow me to zoom in to get it to full screen. The photos that are sized properly it pushes them off the the side until I zoom in on it and it recenters it    ,1,0,0,0
15,"The application updated without my knowledge, and stopped halfway I then checked back and it DELETED the app. I was furious, I redownloaded it and experienced the same problems as everyone else     ",0,0,1,0
16,Updates have not fixed the problem. Fix the app before updating.    ,0,1,0,0
17,A really good app I love it so much    ,0,0,0,0
18,A very secure app to hold on your pictures and videos that you don't wanna anybody to see    ,0,0,0,0
19,Absolute Love it Very Secure     ,0,0,0,0
20,Absolutely love this app and its features highly recommend to anyone interested    ,0,0,0,0
21,Absolutely love this app I pray I never lose these pics I saved. They mean the world to me    ,0,0,0,0
22,Ads. Ads. Ads. Can't view a photo unless you view an add. Plus photos are poorly optimized for the phone. 0 stars would be the rating if possible.     ,1,0,0,0
23,"All my pics are hidden, and protected You spend the extra money for bigger storage all well worth     ",0,0,0,0
24,All my pictures were in the main album. Key word were they are all gone now. For what reason All my photos are gone and I did not delete them have no reason to    ,0,0,1,0
25,"Also after reading some of the reviews of this app, it's clear that a lot of them are fake. Not worth the download.     ",0,0,0,0
26,Amazing app I love it     ,0,0,0,0
27,An awesome way to keep photos private and the fact that the app has its own camera is a big plus    ,0,0,0,0
28,and even some of her coworkers also on here reading the Bible     ,0,0,0,0
29,App has never giving me a problem and I used all the time Would totally recommend this app to everyone trying to find a good picture storage app    ,0,0,0,0
30,"App previously had a lot of bugs, before every time I would go to open the app it crashed immediately. Now everything is resolved and the app works great with enhanced modifications.    ",0,0,1,0
31,App was great until I updated it by mistake. Don't think about getting a new phone if you plan to continue to use this app because the update basically erases all your pictures.    ,0,1,0,0
32,Awesome app use it a lot    ,0,0,0,0
33,Awesome app I looked at a few others but this had everything that I need to keep my things away from others prying eyes    ,0,0,0,0
34,"Awesome app, everything you will need.    ",0,0,0,0
35,Awesome love this app    ,0,0,0,0
36,"Besides Pandora, this is the only other app I have that's worth the subscription....LOVE IT    ",0,0,0,0
37,Best app I've ever used    ,0,0,0,0
38,Best keeper app so far    ,0,0,0,0
39,"Best keepsafe, just prices    ",0,0,0,0
40,By far the best and most useful app out there. The free version is great but the paid version is beyond worth it.    ,0,0,0,0
41,Can't ask for anything better    ,0,0,0,0
42,Can't see dem nudes    ,0,0,0,0
43,Commercial accts need work     ,0,0,0,0
44,DO NOT RISK LOSING EVERYTHING     ,0,0,0,0
45,Do not use it people please.     ,0,0,0,0
46,Does everything it says it does with no flaws. Would give 1010 if I could.    ,0,0,0,0
47,"Does what it says, 55    ",0,0,0,0
48,"Does what it should, and does it well.    ",0,0,0,0
49,Easier to use and keep picture  safer.    ,0,0,0,0
50,Easy to use. I strongly suggest to al my friends and people I meet in my line of work to download and even pay for the Premium version. Necessity for all adults nowadays    ,0,0,0,0
51,Easy to use. Really good like this one a lot better than all the other ones. 100 on everything. Simple. Couldn't ask for a better app of this sort.    ,0,0,0,0
52,Easy to use. The app is great    ,0,0,0,0
53,"Even though I don't have premium I love it I'll pay for premium when I can, that's a definitely    ",0,0,0,0
54,"Every time I try to view my files, it claims to be in private cloud when I don't even have that feature enabled. What is a private cloud anyway I don't have that Every time I try to view them, it just goes to a black screen. Fix this ASAP    ",1,0,0,0
55,"Everything is cool except for gifs. I upload gifs and when I try to view them, they simply don't animate. I'm sure it's not my way of saving them because I can view the gif in other apps. KeepSafe, fix gifs   ",1,0,0,0
56,Excelente app works great for me and keeps my info privately    ,0,0,0,0
57,Excellent app I like soo much    ,0,0,0,0
58,Excellent app the best    ,0,0,0,0
59,Excellent app to store pics    ,0,0,0,0
60,Extremely impressed with the quality of the product.    ,0,0,0,0
61,Fix this App ASAP     ,0,0,0,0
62,Glad the app is back to working perfectly     ,0,0,0,0
63,"Good App , Keeps Everything Safe. But When I Recently Switched Phones I Lost Lots Of Pics An Vids , Idk What Happened.   ",0,0,0,0
64,Good stuff all around.    ,0,0,0,0
65,Great ap  it does exactly what I need it to  is user friendly. Totes recommend    ,0,0,0,0
66,Great app and with lots of space for a lot pictures and etc    ,0,0,0,0
67,Great app for keeping photos of you don't have it you should get it    ,0,0,0,0
68,great app for saving your media file  i love it     ,0,0,0,0
69,Great app love it    ,0,0,0,0
70,Great app no problems with it    ,0,0,0,0
71,"Great app, does exactly what it's supposed to. Seamless Sharing between phones and iPads    ",0,0,0,0
72,"Great app. Clean. Fresh. Discrete. This app saves marriages, relationships, headaches. Just hide all your private pics or vids. Set up a back up password and no one will suspect a thing. This app is a must    ",0,0,0,0
73,Great app. I use it all the time for storing all my private pictures.    ,0,0,0,0
74,Great app. Just needs to have everything for free Hahahaha    ,0,0,0,0
75,Great App. No claims    ,0,0,0,0
76,Great for keeping and uploading photos    ,0,0,0,0
77,Great for storing any photos that you dont want in your normal album    ,0,0,0,0
78,"Great interface, really good accessibility with very good security and a lot of options to suit every need. By far one of the best apps I've downloaded.    ",0,0,0,0
79,Great tool to maintain privacy    ,0,0,0,0
80,Had the free version and decided to upgrade after liking it so much.  Some features still don't work well like adding files from iOS.  You have to open the app to add files.  Really like the fake pin option which allows someone to breakin the phone but doesn't show your files. I keep my id's and credit cards on the app so I always have them with me. I don't buy many apps but this was one I glad to have made the investment.     ,1,0,0,0
81,Had this app for a year now and no problems at all.     ,0,0,0,0
82,Have been using this app for a year now. Have never lost a pic and it is so easy to use Definitely recommend    ,0,0,0,0
83,"Have had this app for almost a year, started with free then premium and I'm highly satisfied. Love every feature it has     ",0,0,0,0
84,Hell Ive even got some pictures of the Bible in here     ,0,0,0,0
85,Hi i am enjoying using keepsafe app i do recommended to anyone    ,0,0,0,0
86,How can I delete the app without getting charged for the premium since I cannot go back to basic before the 31 day trial      ,0,0,0,0
87,How do I get my money back I did not want to pay 25 for the year I need my money back     ,0,0,0,0
88,I accidentally deleted the app and then redownloaded it only to find out all my photos were deleted and wiped. Do not download the app     ,0,0,1,0
89,I added some new photos in my keep safe and then I deleted  keep safe and the photos I added aren't there why     ,0,0,1,0
90,I appreciate having this app very much. Appears secure. Good features.    ,0,0,0,0
91,I can always depend on this app to hide certain photos and documents. Love the trash upgrade.    ,0,0,0,0
92,I can hide my porn now. Perfect app for that.    ,0,0,0,0
93,I can't get in the app    ,0,0,0,0
94,I couldn't love this app anymore. Easy to use and not glitchy at all. Every update makes it even better.    ,0,0,0,0
95,I deleted this app after I saved all the pictures I want and I downloaded it again and when I logged in it had the amount of pictures I saved but the pictures weren't even there    ,0,0,1,0
96,I deleted this app in less than 15 minutes.     ,0,0,0,0
97,"I did experience the recent problem with the app crashing, but with lead from a rash review rant because plenty of others submitted theirs, and I hoped the problem would get fixed soon. And sure enough, another prompt update comes out the next day and fixes the problem. Good job team, thanks for looking out. I'm going to leave 4 Stars for now though, because I don't like ads.     ",0,0,0,0
98,i downloaded this app about 2 years ago and it deleted many of my photos and i could not get them back    ,0,0,1,0
99,"I got this app to keep sensitive information safe. It is not let me down ones. Better yet, they keep adding features to make my life easier. Storing my information in the cloud with compressed versions on my phone saves space and gives me peace of mind if something happens to my phone, I don't lose what's important to me. Photo editing, breakin alerts, and other new features keep me a satisfied Keepsafe customer    ",0,0,0,0
100,"I had Keepsafe for many months. I then checked on it one day, I didn't update my phone or anything and all my photos were gone I don't know what to do to recover my hundreds of photos    ",0,0,1,0
101,"I had over 300 plus photos that somehow got deleted when an update was done, you can not contact them for any help, I would caution if you think saving photos here that you always get them, I found out the hard way. I would make sure you have backed up elsewhere.    ",0,0,1,0
102,"I have been using this app from past 2 years, easy to use, more reliable, secured and thumbs up for TouchID protection. Thanks Dev Team    ",0,0,0,0
103,I have continued to be charged monthly despite being asked multiple times to cancel. I even uninstalled this app months ago and I'm still being charged.    ,0,0,0,0
104,"I have had 1 issue where, throughout the 5 years I've used this app, my photos went missing. I lost all but 3 of my 4050 pictures. This was unfortunate, but what can you do If you really need to have certain videosphotos I'd suggest backing it up on your computer, then keeping it in this app on your phone. For me, the point is that it's not in my camera roll.    ",0,0,1,0
105,I have had this APP for well over a year and it has never let me down. I've changed phones multiple times and it has even warned me about the new iso10 software upgrade issues before Apple even did. I highly recommend this APP for a secure way to save your important photos    ,0,0,1,0
106,I have pictures of me in the old wife on here reading the Bible together      ,0,0,0,0
107,I have purchased keepsafe on my last 3 iPhones and I have even recommended it to many friends.    ,0,0,0,0
108,"I have the free version, and I love it.    ",0,0,0,0
109,"I have tried many photo storage apps but this one takes the cake. I am pretty frugal but after a year of using it I decided to buy a year membership. Worth EVERY penny, and I won't go back. Keep it awesome    ",0,0,0,0
110,I hide alot off things in here ........if someone gets in then the whole worls is at stakes........good product sell its self    ,0,0,0,0
111,I highly recommend this app.      ,0,0,0,0
112,I hope all the best for the company    ,0,0,0,0
113,I hope they'll consider onetime payment schema.. i dont need the cloud service.. so i dont wAnna pay annually..just need the app     ,0,1,0,0
114,I just don't like how it runs out of storage other than that its 5 stars     ,0,0,0,0
115,I just don't like the way I can't go back to my deleted photos     ,0,0,0,0
116,I just gotta say I love this app    ,0,0,0,0
117,I like this app and I segues to make stronger security by making six digit password and thanks alot    ,0,0,0,0
118,I like this app but one of my videos cant play..please fix     ,1,0,0,0
119,I like this app it functions very well    ,0,0,0,0
120,"I looked on my phone one day and there were two of each picture. So I deleted one of each. As soon as I did. All the pictures disappeared. This angers me on belief, now it wants me to buy premium to get them back. FIX THIS ISSUE    ",0,0,1,0
121,I lost all of my pictures because of some stupid update they tried to do which has the app glitching. 2 years of pictures down the toilet thanks a lot KeepSafe    ,0,0,1,0
122,I love being able to store secure photos.     ,0,0,0,0
123,I love how the app has really thought about things how you can fake the app is something that checks for errors and then you can log in for the real stuff or use a second password and see a different photo album there are so many features it's so worth the money    ,0,0,0,0
124,I love my keepsafe. No one can see my pictures with out my knowledge.    ,0,0,0,0
125,I love this app about to expose my girl for being a ho thank you keep safe had her nudes over 2 years and now getting my payback    ,0,0,0,0
126,"I love this app and recommend it to everyone, it's perfect and works great    ",0,0,0,0
127,I love this app  Tried the free version first but then I paid for upgrade and it's worth every penny. They have improved it tremendously from previous version and it was good even then. Perfect for saving photos and memories. Developers of this app deserve so much recognition for this one    ,0,0,0,0
128,I love this app It's on point    ,0,0,0,0
129,"I Love this app, I've been using it for years and it's really a life saver.    ",0,0,0,0
130,"I love this program   Easy to use, great features and attentive and helpful customer service.    ",0,0,0,0
131,I loved this app. But forcing me to buy premium by shoving ads at me at random times is a terrible business model. I will not buy premium to support a company that thinks pop up ads are needed.    ,1,0,0,0
132,I mainly use the app to hide nude pictures of my sex adventures. In over three years I have not been caught once    ,0,0,0,0
133,I need my account back I have files that important and photos And or my money back    ,0,0,1,0
134,I paid just so I could recover photos I had on a previous phone and all the photos are just black.  Please fix or refund please    ,0,0,1,0
135,I really like the new design. KeepSafe has been super helpful to me. One of the most important apps on my phone    ,0,0,0,0
136,I really like this app and my videos are safe but they won't play. Hmmm what's up with that   ,1,0,0,0
137,"I really like this app for keeping certain videos and pictures private. It's the ultimate app for discretion, and I highly recommend it if you have nosy friends or small kids.     ",0,0,0,0
138,I recommend I've had this app now for 3 years and I love it    ,0,0,0,0
139,I stick to this app vs all others because you can delete the app with pics still on it and when you download it back again login and boom your pics right there    ,0,0,0,0
140,I think it's great. It secures pictures  everything else you don't want others to see while they're on your phone.    ,0,0,0,0
141,I think the functionality and design of the staff are great. I remember it.    ,0,0,0,0
142,I TRIED A LOT OF PROGRAMS LIKE THIS ONE AND THIS IS THE PROGRAM THE I WAS LOOKING FOR I LOST M PHONE AND I HAVE BACK ALL ME PICTURES I LOVET REALLY GOOD IM SO HAPPY  WITH THE PROGRAM     ,0,0,1,0
143,"I tried the free version, upgraded to the paid, and bought additional cloud storage.  So far, all good investments.    ",0,0,0,0
144,"I tried this app while looking for options for completely private photo storage, and though it sounded OK at first, it rots.      ",0,0,0,0
145,I upgraded to premium saved twenty or so pictures and later the same day accidentally uninstalled keepsafe and all of my pictures were gone off my keepsafe anyway to get them back Deleted the originals.    ,0,0,1,0
146,"I went to purchase the 1.99 premium for a month, just so I can see what photos I had previously deleted. When it charged me with the yearly subscription of 23.99. I'm very upset about this and want a refund.    ",0,0,1,0
